문장 번호,문장,포함된 단어
1,The teacher gave an apple to the student.,apple
2,The book is on my desk.,book
3,The cat is sleeping on my bed.,cat
4,The dog is very happy outside today.,dog
5,The fish are swimming very quickly outside today.,fish
6,The teacher made everyone happy at school.,happy
7,The kids love to jump on the trampoline.,jump
8,The girl flew her kite very high outside.,kite
9,I love playing with my best friend outside.,love
10,The moon is shining brightly in the sky tonight.,moon
11,The kids will play outside every day.,play
12,The sun shines brightly in the sky.,sun
13,The big tree is very tall outside.,tree
14,The water is cold outside today.,water
15,The bird is singing outside my window.,bird
16,The kids love to dance at school.,dance
17,The egg was placed carefully on the plate.,egg
18,The American flag waves high in the air.,flag
19,The kids are playing a fun game outside.,game
20,I am going home after school today.,home
21,The ice cream truck is coming today outside.,ice
22,The children felt great joy on their birthday.,joy
23,The key unlocks the old wooden door.,key
24,The leaf fell from the tree slowly.,leaf
25,The child drank milk from her carton.,milk
26,The boy sniffed his nose with a tissue.,nose
27,The orange is a juicy sweet fruit.,orange
28,The teacher gave me a new pen.,pen
29,The queen wears a beautiful crown every day.,queen
30,The rain falls from the dark sky.,rain
31,The big star shines brightly in the sky.,star
32,The toy car is on the table.,toy
33,The girl carries an umbrella on Friday.,umbrella
34,The big red van drove down the street.,van
35,The wind blows through the trees outside.,wind
36,The sunflower has bright yellow petals outside.,yellow
37,The kids went to the zoo yesterday.,zoo
38,The little ant walked across the floor.,ant
39,The ball bounced high over my head.,ball
40,The car is parked outside my house.,car
41,The student sat at her desk quietly.,desk
42,The teacher helped me clean my ear.,ear
43,The little frog sat on a lily pad.,frog
44,The goat climbed up the steep mountain.,goat
45,The girl wore her favorite hat outside.,hat
46,The teacher spilled ink on her new dress.,ink
47,The teacher gave us a jar of jam.,jam
48,The king wore a big crown yesterday.,king
49,The lamp on my desk is very bright.,lamp
50,The mouse ran quickly across the floor.,mouse
51,The net was full of colorful fish.,net
52,The ox is very strong on farms.,ox
53,The pig is eating food on the floor.,pig
54,The teacher made a quilt for her daughter.,quilt
55,The red apple is sitting on the table.,red
56,The big ship sailed across the ocean.,ship
57,The flag is at the top of the pole.,top
58,The ball went up over the fence.,up
59,The firefighter wore a special vest.,vest
60,The wall is very high outside my house.,wall
61,The doctor took an x-ray of my knee.,x-ray
62,The yak climbed up the steep mountain trail.,yak
63,The zip on my jacket is broken.,zip
64,The air is fresh outside on sunny days.,air
65,The teacher gave us fresh warm bread.,bread
66,The chair is very comfortable to sit on.,chair
67,The little girl saw a happy duck.,duck
68,The eye of the storm was calm.,eye
69,The big brown bear stepped on my foot.,foot
70,The boy put on his warm glove.,glove
71,The girl has long hair on her head.,hair
72,The boy uses iron to fix his bike.,iron
73,The juice box was empty on my desk.,juice
74,The little kitten is sleeping on my lap.,kitten
75,The lion is sleeping on the couch.,lion
76,The baby opened its mouth wide.,mouth
77,The teacher gave me a nut as a snack.,nut
78,The oven is very hot today outside.,oven
79,The pizza is very delicious tonight.,pizza
80,The queen wears a beautiful crown every day.,queen
81,The rose was red and very beautiful outside.,rose
82,The student lost her favorite sock outside.,sock
83,The kids set up their tent outside.,tent
84,My uncle is coming to visit me today.,uncle
85,The vase sits on the table quietly.,vase
86,The big wolf ran quickly through the forest.,wolf
87,The girl was playing with the yarn outside.,yarn
88,The number zero is used on clocks.,zero
89,The teacher gave an apple to the student.,apple
90,The balloon floated gently above my head.,balloon
91,The clown made us laugh at school.,clown
92,The dragon is sleeping on my bed.,dragon
93,The earth is where we live on.,earth
94,The flower is very pretty outside today.,flower
95,The boy plays the guitar every day.,guitar
96,The teacher's heart was full of kindness.,heart
97,The island is home to many wild animals.,island
98,The kids went on an adventure into the jungle.,jungle
99,The kangaroo is very fast on its feet.,kangaroo
